_id,ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE
26722,CHINCHILAMO HANDLUM CARPET INDUSTRY,Kathmandu,Private,2059
26723,SIDDHARTHA AAWASIYA MADHYAMIK VIDHYALAYA*,Nawalparasi,Private,2059
26724,SHANTI NIKETAN SCHOOL OF SCIENCE AND MANAGEMENT NAWALPARASI,Nawalparasi,Private,2059
26725,PARASI LITTLE ANGELS HIGH SCHOOL NAWALPARASI*,Kathmandu,Private,2059
26726,BLUE HORSE INTERNATIONAL PVT. LTD.,Kathmandu,Private,2059
26727,ANNAPURNA ACADEMY LALITPUR,Lalitpur,Private,2059
26728,KALIKA AWASIYA MADHYAMIK VIDHYALAYA,Pyuthan,Private,2059
26729,RED ROSE ACADEMY JHAPA,Jhapa,Private,2059
26730,NATIONAL PIONEER ACADEMY,Kathmandu,Private,2059
26731,ORIENTAL DEPARTMENTAL STORE,Morang,Private,2059
26732,INFRASTRUTURE NEPAL,Kathmandu,Private,2059
26733,SURAJ SHIKSHA PRATISTHAN JHAPA,Jhapa,Private,2059
26734,HAPPYLAND EDUCATION FOUNDATION JHAPA,Jhapa,Private,2059
26735,MALLA INVESTMENT COMPANY,Kathmandu,Private,2059
26736,GAUTAM BUDDHA MEMORIAL SECONDARY SCHOOL MORANG,Morang,Private,2059
26737,NEPTUNE MEDIA,Kathmandu,Private,2059
26738,SUDUR PASCHIMANCHAL GOBAR GAS TATHA URJA BIKASH COMPANY,Kanchanpur,Private,2059
26739,SHREE SHAILESHWORI  ROSIN,Kailali,Private,2059
26740,PURBANCHAL NETWORK,Jhapa,Private,2059
26741,GREEN KANTIPUR PUBLIC SCHOOL,Kathmandu,Private,2059
26742,KANTIPUR EDUCATIONAL DEVELOPMENT CENTRE(KATHMANDU),Kathmandu,Private,2059
26743,MOUNT VALLEY SCHOOL,Lalitpur,Private,2059
26744,DONBOSCO INSTITUTE OF SKILL DEVELOPMENT,Kathmandu,Private,2059
26745,PATEL SINZA ACADEMY,Kathmandu,Private,2059
26746,EDUCATION CARE HOME SCHOOL,Sarlahi,Private,2059
26747,SAKURA MEMORIAL EDUCATIONAL AND RESEARCH FOUNDATION NAWALPARASI,Nawalparasi,Private,2059
26748,HOTEL POTALA PALACE,Kathmandu,Private,2059
26749,S.N.P. TRADERS GROUP,Kathmandu,Private,2059
26750,SAMRAT ENTERPRISES,Kathmandu,Private,2059
26751,MACHHAPUCHHRE MUSIC,Kathmandu,Private,2059
26752,FISHTAIL CABLE NETWORK,Dang,Private,2059
26753,SARBOTTAM MAHILA TATHA BAL ASPATAL,Parsa,Private,2059
26754,SAMATRA TRADING,Kathmandu,Private,2059
26755,GYAN JYOTI ACADEMY KATHMANDU,Kathmandu,Private,2059
26756,SEB SCHOOL KATHMANDU,Kathmandu,Private,2059
