_id,ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE
224,Aayushma Polyclinic and Research Center,Dhanusha,Private,2065
225,Daju Bhai Housing Company,Kathmandu,Private,2065
226,Aalok Overseas,Kathmandu,Private,2065
227,Trishakti Developers,Kathmandu,Private,2065
228,Travel Light,Kathmandu,Private,2065
229,Voice Education Consultancy,Kathmandu,Private,2065
230,Molex I.T. Solution,Lalitpur,Private,2065
231,Sunlight Property Dealers,Bhaktapur,Private,2065
232,Duruwa Balmiki Vidhyashram English Boarding School,Dang,Private,2065
233,Majority Travels & Tours,Kathmandu,Private,2065
234,Children Future Development English Boarding School,Dolakha,Private,2065
235,Venture Trade,Kathmandu,Private,2065
236,Pyramid Educational Services,Kathmandu,Private,2065
237,Swaniga Engineering Consultancy,District not known,Private,2065
238,Buddha Investment,Kaski,Private,2065
239,Venus Developers,Kathmandu,Private,2065
240,Madhyamanchal Regional Engineering College,Dhanusha,Private,2065
241,B. & B. Enterprises,Kathmandu,Private,2065
242,Auston Education Consultancy,Kathmandu,Private,2065
243,Swayambhu Haratimata Suppliers,Kathmandu,Private,2065
244,Public Horizon English Boarding School,Rolpa,Private,2065
245,Giga Education & Migration Services,Kathmandu,Private,2065
246,Shanishchar Travels and Tours,Sunsari,Private,2065
247,Sadichchha Trading Concern,Kathmandu,Private,2065
248,Frontliners Language and Training Center,Kaski,Private,2065
249,English Business School,Kathmandu,Private,2065
250,Namaste Pokhara Broadcasting Studio,Kaski,Private,2065
251,Himal Natural Fruit Candy,Kathmandu,Private,2065
252,Shova Homes,Kathmandu,Private,2065
253,M.K.M. Construction,Lalitpur,Private,2065
254,Sunakothi Radha Krishna Dairy Udhyog,Lalitpur,Private,2065
255,Jaya Gorakhakali Real Estate,Lalitpur,Private,2065
256,Jaya Bhole Baba Housing Company,Rupandehi,Private,2065
257,Marilen Enterprises,Kathmandu,Private,2065
258,Marilen Herbal Industries,Kathmandu,Private,2065
259,GMR Upper Karnali Hydropower,Lalitpur,Public,2065
260,Chitwan Poly clinic & Research Centre,Chitwan,Private,2065
261,Phulbari R.S. Trade,Sindhupalchowk,Private,2065
